P2, T_new, Tv1 - Tve, md_new, mm_new, mliq_new, mm_in, md_in, RH_new, cond, cond_source
890.0,284.831309652,1.41402483545,0.990128179605,0.00968466361565,0.000187156779445,0.0,0.0,1.0,0.000187156779445,0.0
880.0,284.373772179,1.61707619305,0.990128179605,0.00949681254325,0.000375007851843,0.0,0.0,1.0,0.000187889235783,0.0
870.0,283.908988948,1.81961347061,0.990128179605,0.00930834795631,0.000563472438782,0.0,0.0,1.0,0.000188503136067,0.0
860.0,283.436729213,2.02162810023,0.990128179605,0.00911929026073,0.000752530134361,0.0,0.0,1.0,0.000189096641575,0.0
850.0,282.956751649,2.22309129955,0.990128179605,0.00892966183944,0.000942158555654,0.0,0.0,1.0,0.000189667775663,0.0
840.0,282.468803758,2.42397130838,0.990128179605,0.00873948720121,0.00113233319388,0.0,0.0,1.0,0.000190214412102,0.0
830.0,281.972621214,2.62423301679,0.990128179605,0.00854879313554,0.00132302725955,0.0,0.0,1.0,0.000190734272155,0.0
820.0,281.467927183,2.82383757684,0.990128179605,0.00835760888732,0.00151421150778,0.0,0.0,1.0,0.000191224899317,0.0
810.0,280.954431583,3.02274197265,0.990128179605,0.00816596633419,0.0017058540609,0.0,0.0,1.0,0.000191683662974,0.0
800.0,280.431830315,3.22089856964,0.990128179605,0.00797390018541,0.00189792020969,0.0,0.0,1.0,0.000192107731295,0.0
790.0,279.899804426,3.41825462565,0.990128179605,0.00778144818962,0.00209037220548,0.0,0.0,1.0,0.000192494065499,0.0
780.0,279.358019231,3.59306968664,0.990128179605,0.00758865135985,0.00228316903525,0.0,0.0,1.0,0.000192839400953,0.0
770.0,278.806123368,3.76874394349,0.990128179605,0.00739555420877,0.00247626618633,0.0,0.0,1.0,0.000193140240657,0.0
760.0,278.243747801,3.94515226463,0.990128179605,0.00720220500917,0.00266961538593,0.0,0.0,1.0,0.000193392823456,0.0
750.0,277.670504759,4.12216090759,0.990128179605,0.0070086560637,0.0028631643314,0.0,0.0,1.0,0.000193593120377,0.0
740.0,277.0859866,4.29962690539,0.990128179605,0.00681496399353,0.00305685640156,0.0,0.0,1.0,0.000193736815028,0.0
730.0,276.489764626,4.47739742609,0.990128179605,0.00662119005198,0.00325063034311,0.0,0.0,1.0,0.000193819273211,0.0
720.0,275.881387796,4.65540919354,0.990128179605,0.00642740044483,0.00344441995027,0.0,0.0,1.0,0.000193835545978,0.0
710.0,275.26038139,4.83363296903,0.990128179605,0.00623366668043,0.00363815371467,0.0,0.0,1.0,0.000193780331186,0.0
700.0,274.62624559,5.01186094027,0.990128179605,0.0060400659364,0.00383175445869,0.0,0.0,1.0,0.000193647958891,0.0
690.0,273.978453974,5.1898698767,0.990128179605,0.00584668144096,0.00402513895413,0.0,0.0,1.0,0.000193432380369,0.0
680.0,273.316451936,5.36742243703,0.990128179605,0.00565360287679,0.00421821751831,0.0,0.0,1.0,0.000193127142117,0.0
670.0,272.640211178,5.54426638888,0.990128179605,0.0054605334654,0.00441128692969,0.0,0.0,1.0,0.000193118706671,0.0
660.0,271.95072303,5.72062590659,0.990128179605,0.00526676902738,0.00460505136771,0.0,0.0,1.0,0.000193814252747,0.0
650.0,271.247447752,5.89769388635,0.990128179605,0.00507241573658,0.00479940465851,0.0,0.0,1.0,0.000194403584199,0.0
640.0,270.529702827,6.07527835385,0.990128179605,0.00487761338102,0.00499420701407,0.0,0.0,1.0,0.000194853156909,0.0
630.0,269.796759487,6.25306555482,0.990128179605,0.004682515044,0.0051893053511,0.0,0.0,1.0,0.000195149678463,0.0
620.0,269.0478391,6.43071437199,0.990128179605,0.00448728821627,0.00538453217882,0.0,0.0,1.0,0.000195278743009,0.0
610.0,268.282109291,6.60785395004,0.990128179605,0.00429211597288,0.00557970442221,0.0,0.0,1.0,0.00019522477009,0.0
600.0,267.498679828,6.78408115664,0.990128179605,0.00409719821741,0.00577462217769,0.0,0.0,1.0,0.000194970931951,0.0
590.0,266.696598256,6.95895786696,0.990128179605,0.00390275297694,0.00596906741816,0.0,0.0,1.0,0.00019449910622,0.0
580.0,265.874845301,7.13200808374,0.990128179605,0.00370901773524,0.00616280265985,0.0,0.0,1.0,0.000193789840025,0.0
570.0,265.032330093,7.3027149307,0.990128179605,0.0035162507887,0.0063555696064,0.0,0.0,1.0,0.000192822323606,0.0
560.0,264.167885255,7.47051754994,0.990128179605,0.00332473259267,0.00654708780243,0.0,0.0,1.0,0.000191574399769,0.0
550.0,263.280261926,7.63480794573,0.990128179605,0.00313476705463,0.00673705334046,0.0,0.0,1.0,0.000190022621995,0.0
540.0,262.368124864,7.79492789396,0.990128179605,0.00294668273312,0.00692513766197,0.0,0.0,1.0,0.000188142336877,0.0
530.0,261.430047711,7.95016596077,0.990128179605,0.00276083384983,0.00711098654527,0.0,0.0,1.0,0.00018590788849,0.0
520.0,260.464508701,8.09975485695,0.990128179605,0.00257760104951,0.00729421934558,0.0,0.0,1.0,0.000183292853211,0.0
510.0,259.469886994,8.24286924995,0.990128179605,0.00239739176752,0.00747442862757,0.0,0.0,1.0,0.000180270449317,0.0
500.0,258.444460053,8.37862438037,0.990128179605,0.00222064008816,0.00765118030693,0.0,0.0,1.0,0.000176814022623,0.0
490.0,257.386402362,8.50607569461,0.990128179605,0.00204780588689,0.0078240145082,0.0,0.0,1.0,0.000172897787984,0.0
480.0,256.293786068,8.62320393662,0.990128179605,0.00187937307395,0.00799244732115,0.0,0.0,1.0,0.000168497713514,0.0
470.0,255.164584078,8.73001842469,0.990128179605,0.00171584668727,0.00815597370783,0.0,0.0,1.0,0.000163592675711,0.0
460.0,253.996676315,8.82546858555,0.990128179605,0.00155774857716,0.00831407181793,0.0,0.0,1.0,0.000158165855377,0.0
450.0,252.787859712,8.90841042439,0.990128179605,0.00140561138587,0.00846620900922,0.0,0.0,1.0,0.000152206465739,0.0
440.0,251.535862779,8.97766899447,0.990128179605,0.00125997057398,0.00861184982112,0.0,0.0,1.0,0.00014571168479,0.0
430.0,250.238365227,9.03205567425,0.990128179605,0.00112135425171,0.00875046614338,0.0,0.0,1.0,0.000138688860272,0.0
420.0,248.892979758,9.07039067341,0.990128179605,0.00100436248436,0.00886745791074,0.0,0.0,1.0,0.000117066033235,0.0
410.0,247.497606358,9.09364506318,0.990128179605,0.000895145682621,0.00897667471247,0.0,0.0,1.0,0.00010929470714,0.0
400.0,246.050477017,9.09877289275,0.990128179605,0.000792860949769,0.00907895944533,0.0,0.0,1.0,0.000102364378513,0.0
390.0,244.549886436,9.08514162426,0.990128179605,0.00069766150881,0.00917415888628,0.0,0.0,1.0,9.5280809333e-05,0.0
380.0,242.994208355,9.05242388606,0.990128179605,0.000609643260396,0.0092621771347,0.0,0.0,1.0,8.81013031516e-05,0.0
370.0,241.381903769,9.00045427592,0.990128179605,0.000528838654862,0.00934298174023,0.0,0.0,1.0,8.08893188231e-05,0.0
360.0,239.711523373,8.92924606516,0.990128179605,0.000455212202149,0.00941660819295,0.0,0.0,1.0,7.3712754998e-05,0.0
350.0,237.981702263,8.83900311726,0.990128179605,0.000388658026562,0.00948316236853,0.0,0.0,1.0,6.66420179748e-05,0.0
340.0,236.191146345,8.73012640393,0.990128179605,0.000328999843853,0.00954282055124,0.0,0.0,1.0,5.97474784509e-05,0.0
330.0,234.338609081,8.60321367719,0.990128179605,0.000275993512229,0.00959582688287,0.0,0.0,1.0,5.30969841023e-05,0.0
320.0,232.422858549,8.4590520105,0.990128179605,0.000229332171113,0.00964248822398,0.0,0.0,1.0,4.67532624693e-05,0.0
310.0,230.442635093,8.2986032792,0.990128179605,0.000188653761078,0.00968316663402,0.0,0.0,1.0,4.07715160521e-05,0.0
300.0,228.396600326,8.1229832245,0.990128179605,0.000153550529114,0.00971826986598,0.0,0.0,1.0,3.5197387011e-05,0.0
290.0,226.283277899,7.93343462667,0.990128179605,0.000123579962231,0.00974824043286,0.0,0.0,1.0,3.00656899881e-05,0.0
280.0,224.100988159,7.73129697116,0.990128179605,9.82765345156e-05,0.00977354386058,0.0,0.0,1.0,2.53994249331e-05,0.0
270.0,221.847776979,7.5179737209,0.990128179605,7.71635881663e-05,0.00979465680693,0.0,0.0,1.0,2.12097308307e-05,0.0
260.0,219.521339914,7.29489942202,0.990128179605,5.97647373889e-05,0.00981205565771,0.0,0.0,1.0,1.74962921152e-05,0.0
250.0,217.118941228,7.06350784915,0.990128179605,4.56142639035e-05,0.00982620613119,0.0,0.0,1.0,1.42484774676e-05,0.0
240.0,214.637327607,6.82520307066,0.990128179605,3.42661153573e-05,0.00983755427974,0.0,0.0,1.0,1.1446706126e-05,0.0
230.0,212.072635642,6.58133522275,0.990128179605,2.53012554601e-05,0.00984651913963,0.0,0.0,1.0,9.06382684447e-06,0.0
220.0,209.420288799,6.33318019087,0.990128179605,1.83332444768e-05,0.00985348715062,0.0,0.0,1.0,7.0671883109e-06,0.0
210.0,206.674880375,6.08192391749,0.990128179605,1.30120670314e-05,0.00985880832806,0.0,0.0,1.0,5.42052446559e-06,0.0
200.0,203.830037276,5.82865169198,0.990128179605,9.02631138852e-06,0.00986279408371,0.0,0.0,1.0,4.0856192504e-06,0.0
190.0,200.878259334,5.57434435589,0.990128179605,6.10386956819e-06,0.00986571652553,0.0,0.0,1.0,3.02300983316e-06,0.0
180.0,197.810721925,5.31987906583,0.990128179605,4.01135868179e-06,0.00986780903641,0.0,0.0,1.0,2.19323184771e-06,0.0
170.0,194.617022384,5.06602846303,0.990128179605,2.55248782293e-06,0.00986926790727,0.0,0.0,1.0,1.55986879423e-06,0.0
160.0,191.284854592,4.81346079899,0.990128179605,1.56560185053e-06,0.00987025479324,0.0,0.0,1.0,1.0911759838e-06,0.0
150.0,187.799627698,4.56278258323,0.990128179605,9.2061687239e-07,0.00987089977822,0.0,0.0,1.0,7.46189307906e-07,0.0
140.0,184.143836716,4.31447582113,0.990128179605,5.15505865003e-07,0.00987130488923,0.0,0.0,1.0,5.15104915198e-07,0.0
130.0,180.296452764,4.06904095652,0.990128179605,2.72582861641e-07,0.00987154781223,0.0,0.0,1.0,3.43834151222e-07,0.0
120.0,176.231689807,3.82681693677,0.990128179605,1.34658544019e-07,0.00987168573655,0.0,0.0,1.0,2.55390557419e-07,0.0
110.0,171.917774571,3.58820544296,0.990128179605,6.12989607763e-08,0.00987175909613,0.0,0.0,1.0,1.99506206922e-07,0.0
